# V1 V2 V3 V4 V5 V6 V7 V8
548 505.6355552 4906.084409 / 0.428372172780037 1.27638233135447 -0.983301873955971 0.0813889450822723
549 515.6004986 4906.521777 / -0.413778622079193 -1.30502159530846 -1.21185083367413 0.0813889450822723
550 516.4372125 4905.752302 / -0.299534774288998 -1.30502159530846 -1.21185083367413 0.0813889450822723
551 517.6233975 4905.356632 / -0.0368925854297788 -1.30502159530846 -1.21185083367413 0.0813889450822723
552 538.9851894 4905.715396 / -0.382956164136697 1.18736840284886 -0.757087181185215 0.0813889450822723
553 539.9421312 4905.706284 / -0.447176608891741 1.18736840284886 -0.757087181185215 0.0813889450822723
554 540.8495873 4905.715552 / -0.213339515551116 1.18736840284886 -0.757087181185215 0.0813889450822723
555 546.8470636 4906.435663 / 0.227944671718748 -1.30502159530846 -1.27341543680891 0.0813889450822723
556 547.8752504 4906.294371 / 0.339805461633032 -1.30502159530846 -1.27341543680891 0.0813889450822723
557 548.9382474 4906.357665 / 1.34426476099163 -1.30502159530846 -1.27341543680891 0.0813889450822723
558 566.1414067 4906.59563 / -0.430888842709624 -0.859951952780364 -0.164816783312298 0.0813889450822723
559 567.6705657 4906.565725 / -0.665132594232998 -0.859951952780364 -0.164816783312298 0.0813889450822723
560 568.3447638 4906.953094 / -0.291797156278166 -0.859951952780364 -0.164816783312298 0.0813889450822723
561 573.9171166 4908.715017 / -0.175919987711562 0.0301873322758182 1.89525965200809 0.0813889450822723
562 574.4099586 4908.634626 / 0.472869428539335 0.0301873322758182 1.89525965200809 0.0813889450822723
563 576.7329253 4907.557247 / -0.926785833149764 1.18736840284886 -0.503217318112249 0.0813889450822723
564 523.1620803 4901.416188 / -0.788804140870348 -0.147840524735418 1.76692255823263 0.0813889450822723
565 524.329155 4902.42742 / -1.89060828148483 -0.147840524735418 1.52232682752807 0.0813889450822723
566 525.0831137 4901.89444 / -0.91580246273177 -0.147840524735418 1.52232682752807 0.0813889450822723
567 543.0919408 4899.176661 / -0.356141759398341 0.0301873322758182 1.5778203378533 0.0813889450822723
568 544.2107098 4898.261388 / -0.594910549735323 0.0301873322758182 1.5778203378533 0.0813889450822723
569 544.8283246 4899.151426 / 0.291934750835 0.0301873322758182 1.5778203378533 0.0813889450822723
