# V1 V2 V3 V4 V5 V6 V7 V8
1 515.307143829874 4905.7741458185 / -1.40157730112285 0.942040679704342 1.52175378868568 1.0231187486258
2 516.465005706736 4905.36722462824 / -0.106487466742685 0.942040679704342 1.96057020655325 1.0231187486258
3 517.634103248988 4905.35925435303 / 0.618591760805992 0.942040679704342 1.96057020655325 1.0231187486258
4 539.022732640776 4905.82557719254 / -1.1434928619047 2.06469046575723 2.10279406746503 1.0231187486258
5 540.160290649861 4906.099410226 / -1.50439021599116 2.06469046575723 2.10279406746503 1.0231187486258
6 541.009052312013 4905.73433511785 / -1.28322075248579 2.06469046575723 2.10279406746503 1.0231187486258
7 546.834778931981 4906.445910695 / 1.08531404700012 0.85568300385412 1.59140239807793 1.0231187486258
8 547.936259731318 4905.85684504978 / -1.66587390837106 0.85568300385412 1.59140239807793 1.0231187486258
9 548.964411694423 4906.30938253592 / -1.1393415961127 0.85568300385412 1.59140239807793 1.0231187486258
10 566.581005424965 4907.97905087399 / 0.225004183695161 -0.439682133899211 -0.572743194122184 -0.975616806725314
11 567.615550579946 4906.78110438184 / 0.292300585688035 -0.439682133899211 -0.572743194122184 -0.975616806725314
12 568.239211539295 4907.89825819811 / 0.928488719969005 -0.439682133899211 -0.572743194122184 -0.975616806725314
13 573.943680459807 4907.55134283517 / -0.171946784481688 -0.439682133899211 -0.724936134531054 1.0231187486258
14 574.827799715452 4908.24409362219 / -0.233915802829797 -0.439682133899211 -0.724936134531054 1.0231187486258
15 576.839316262186 4907.36012586125 / 0.730622685160549 -0.439682133899211 -0.671215308504547 1.0231187486258
16 523.404269145582 4901.73084071209 / -0.200956557492803 0.164821597052343 -0.954484925098052 1.0231187486258
17 524.398901631175 4901.82387355882 / -0.890256867744301 0.164821597052343 -0.981116267473085 1.0231187486258
18 525.311857889023 4901.77522007817 / -0.695765882179132 0.164821597052343 -0.954484925098052 1.0231187486258
19 543.0605262039 4899.35089687129 / -0.840770581990137 0.769325328003898 0.0673177033921027 -0.975616806725314
20 544.213718880266 4898.26281315826 / -1.26022019550049 0.769325328003898 0.0673177033921027 -0.975616806725314
21 545.022379111252 4899.39458455404 / 0.161251701367351 0.769325328003898 0.0673177033921027 -0.975616806725314
22 503.969403360282 4892.82289324551 / -1.24023939279357 0.164821597052343 -1.03992661252012 -0.975616806725314
23 504.638710205679 4894.80966046795 / 0.807136834029512 0.164821597052343 -1.03646699053139 -0.975616806725314
24 505.769108343873 4893.79620521409 / -0.862723989688273 0.164821597052343 -1.03646699053139 -0.975616806725314
25 515.887975283712 4894.60013830824 / 0.855091182238458 0.0784639212021213 -1.00054351327272 -0.975616806725314
26 517.098230976977 4893.33713907601 / -0.0423662429147046 0.0784639212021213 -1.00054351327272 -0.975616806725314
27 517.71059460483 4893.48070443005 / 1.32903582863293 0.0784639212021213 -1.00054351327272 -0.975616806725314
28 527.567093369586 4893.85322349846 / 0.456298138312419 0.0784639212021213 -0.93913075356205 -0.975616806725314
29 528.512316381423 4893.7945502375 / 0.483307761009522 0.337536948752788 -0.93913075356205 -0.975616806725314
30 529.738480999118 4894.03684333331 / 0.570489581050178 0.0784639212021213 -0.93913075356205 -0.975616806725314
31 535.503927818676 4895.39002626368 / -0.265780477422083 0.682967652153676 -0.951715837192722 1.0231187486258
32 536.267682105541 4894.06330083785 / 1.39426979035973 0.682967652153676 -0.951715837192722 1.0231187486258
33 537.650879901757 4895.46385207687 / 1.55344320462462 0.682967652153676 -0.951715837192722 1.0231187486258
34 551.511941892995 4895.59485824441 / 2.51645572170126 -0.266966782198767 -0.805171659519588 -0.975616806725314
35 552.005347181934 4896.17375466282 / 2.10311936175586 -0.266966782198767 -0.805171659519588 -0.975616806725314
36 553.084386891785 4895.0878886063 / 1.4975544920813 -0.266966782198767 -0.805171659519588 -0.975616806725314
37 562.710388739078 4896.19485727982 / 0.478453780855826 -0.180609106348545 -0.850737640227569 -0.975616806725314
38 564.068568832555 4895.42616156052 / 2.07810193716318 -0.180609106348545 -0.850737640227569 -0.975616806725314
39 564.948622434768 4895.44582833609 / -0.368921972396378 -0.180609106348545 -0.850737640227569 -0.975616806725314
40 574.927661435369 4895.19025686611 / -0.339691889525616 -0.266966782198767 -0.745412441787789 1.0231187486258
41 575.564686226446 4895.35350233032 / -0.386035982665258 -0.266966782198767 -0.745412441787789 1.0231187486258
42 576.695770816116 4897.05575031345 / 1.41217345017397 -0.266966782198767 -0.738408318021081 1.0231187486258
43 591.456931740592 4899.69951432595 / 0.903802477311479 1.46018673480567 1.71867376442334 1.0231187486258
44 592.469003369453 4899.52300425157 / 0.0530287865314686 1.46018673480567 1.70030962945148 1.0231187486258
45 519.9903438584 4885.8105421849 / -0.122705234204024 0.251179272902565 -0.916229925234499 1.0231187486258
46 520.844073788109 4885.68650274433 / 0.749306414193435 0.251179272902565 -0.916229925234499 1.0231187486258
47 521.786670508364 4886.20096530235 / -0.507691858440612 0.251179272902565 -0.916229925234499 1.0231187486258
48 527.976422569028 4882.31355138637 / -0.683246036092302 0.942040679704342 2.09266495450045 -0.975616806725314
49 528.936247191992 4882.0918607085 / -0.458874665626323 0.942040679704342 2.09266495450045 -0.975616806725314
50 529.699429694137 4881.74146118821 / -0.819231923202424 0.942040679704342 2.09266495450045 -0.975616806725314
51 535.513339163632 4883.36548424311 / 0.0374164599179902 0.337536948752788 -0.955529465072464 1.0231187486258
52 536.724468029917 4882.11921022646 / -0.261283205341503 0.337536948752788 -0.911907561799486 1.0231187486258
53 537.928141097279 4882.24974978534 / -0.757016746330967 0.337536948752788 -0.911907561799486 1.0231187486258
54 575.410638798527 4882.88305262624 / -0.868375320208942 -0.0942514304983229 -0.693605814884184 1.0231187486258
55 576.725432836851 4883.06010422036 / -0.920364774078325 -0.0942514304983229 -0.705984035510295 1.0231187486258
56 577.290130089281 4884.59223198425 / -1.09934619679076 -0.0942514304983229 -0.705984035510295 1.0231187486258
