# V1 V2 V3 V4 V5 V6 V7
1 515.452627430823 4905.49864893722 / 0.786249629597341 -1.3794729087516 -1.89695031482711
2 515.328195454119 4905.61996267543 / 0.786249629597341 -1.3794729087516 -1.89695031482711
3 515.337073155347 4905.7254885712 / 0.786249629597341 -1.3794729087516 -1.89695031482711
4 515.362664982524 4905.71368475673 / 0.786249629597341 -1.3794729087516 -1.89695031482711
5 516.493567352632 4905.1406091687 / 0.786249629597341 -0.165939841311951 -1.075722254506
6 516.492484455769 4905.57025333617 / 0.786249629597341 -0.165939841311951 -1.075722254506
7 516.502745515008 4905.60375260212 / 0.786249629597341 -0.165939841311951 -1.075722254506
8 516.450067325442 4905.25532614083 / 0.786249629597341 -0.165939841311951 -1.075722254506
9 517.509015541583 4905.0296914011 / 0.786249629597341 0.731891743428273 -1.075722254506
10 517.522894723953 4905.527594367 / 0.786249629597341 0.731891743428273 -1.075722254506
11 517.247167473873 4905.77600638113 / 0.786249629597341 0.731891743428273 -1.075722254506
12 517.896323327385 4905.38877886091 / 0.786249629597341 0.731891743428273 -1.075722254506
13 539.049174103369 4905.67870115568 / 1.8449120547837 -1.18053416925843 1.19745255787208
14 538.959213092664 4905.76163871855 / 1.8449120547837 -1.18053416925843 1.19745255787208
15 539.070362198992 4906.00297935776 / 1.8449120547837 -1.18053416925843 1.19745255787208
16 539.003004895891 4905.86867981428 / 1.8449120547837 -1.18053416925843 1.19745255787208
17 540.290554916363 4905.99385487192 / 1.8449120547837 -1.39286740462633 1.19745255787208
18 540.471699201419 4905.92802391657 / 1.8449120547837 -1.39286740462633 1.19745255787208
19 540.17747821634 4906.07493961039 / 1.8449120547837 -1.39286740462633 1.19745255787208
20 540.027724798638 4906.18291925973 / 1.8449120547837 -1.39286740462633 1.19745255787208
21 540.560630392135 4905.81713328123 / 1.8449120547837 -1.12666068335696 1.19745255787208
22 540.77347225542 4905.74515128481 / 1.8449120547837 -1.12666068335696 1.19745255787208
23 541.009052312342 4905.73433499882 / 1.8449120547837 -1.12666068335696 1.19745255787208
24 540.673526671513 4905.76656268054 / 1.8449120547837 -1.12666068335696 1.19745255787208
25 546.866697393876 4906.23681396751 / 0.70481405842916 1.06208825260717 1.3208932702586
26 546.655852226266 4906.70438178498 / 0.70481405842916 1.06208825260717 0.533455492440638
27 546.729474835345 4906.96126713615 / 0.70481405842916 1.06208825260717 0.533455492440638
28 546.572947183507 4906.6402300696 / 0.70481405842916 1.06208825260717 0.533455492440638
29 547.899316055212 4905.91505013177 / 0.70481405842916 -1.65675411357332 1.3208932702586
30 547.913523383392 4905.96939223927 / 0.70481405842916 -1.65675411357332 1.3208932702586
31 547.948573307696 4906.08575305507 / 0.70481405842916 -1.65675411357332 1.3208932702586
32 547.971346805903 4905.88549188785 / 0.70481405842916 -1.65675411357332 1.3208932702586
33 548.887475054209 4906.09990520921 / 0.70481405842916 -1.07010310830971 1.3208932702586
34 548.901529306986 4906.25467382423 / 0.70481405842916 -1.07010310830971 1.3208932702586
35 548.951124027038 4906.37750510571 / 0.70481405842916 -1.07010310830971 1.3208932702586
36 548.788641658685 4906.13264252377 / 0.70481405842916 -1.07010310830971 1.3208932702586
37 566.638041936442 4907.93513744731 / -0.516719509093557 0.116515052295027 1.21721124875068
38 566.583174270435 4908.00492253009 / -0.516719509093557 0.116515052295027 1.21721124875068
39 566.636190906321 4907.39991133484 / -0.516719509093557 0.116515052295027 1.21721124875068
40 566.630225493443 4907.50790928774 / -0.516719509093557 0.116515052295027 1.21721124875068
41 567.662695379998 4906.51843671009 / -0.516719509093557 0.242779985425879 0.147909542061736
42 567.531461397805 4906.96838420297 / -0.516719509093557 0.242779985425879 1.21721124875068
