Session,AnimalID,Occasion,X,Y,Collection Date
McK18,1,1,524075.909,4901761.592,16
McK18,1,1,524072.68,4901445.584,16
McK18,1,1,524096.674,4901736.232,16
McK18,1,1,524152.08,4901710.223,16
McK18,2,1,547900.951,4905910.667,3
McK18,2,1,547952.804,4905997.134,3
McK18,3,1,547913.233,4905921.976,3
McK18,3,1,547956.003,4905996.046,3
McK18,4,1,547955.988,4905987.16,3
McK18,4,1,547993.92,4905937.785,3
McK18,5,1,514428.13,4875194.983,9
McK18,6,1,514389.687,4875111.486,9
McK18,7,1,517019.791,4893825.945,10
McK18,8,1,519947.816,4885542.774,1
McK18,9,1,523182.256,4901488.902,16
McK18,10,1,523188.547,4901583.338,16
McK18,11,1,547990.265,4905924.984,3
McK18,12,1,547990.663,4905914.212,3
McK18,13,1,512384.357,4874525.2,9
McK18,14,1,539003.998,4905570.996,31
