# V1 V2 V3 V4 V5 V6
McK18 D82510 1 549.078753948295 4908.99817898754 FALSE
McK18 D82510 1 548.736172784484 4909.08581312568 FALSE
McK18 D82510 1 548.848199521495 4909.15616369007 FALSE
McK18 D82510 1 549.770654956561 4909.07885698291 FALSE
McK18 D82510 1 548.814869262878 4908.82683826982 FALSE
McK18 D82510 1 549.114682113216 4908.94485241131 FALSE
McK18 D82510 1 547.090990097714 4906.97795050562 FALSE
McK18 D82510 1 549.063156836117 4904.99136026024 FALSE
McK18 D82510 1 547.908080862824 4905.0937381263 FALSE
McK18 D82510 1 548.966919233785 4906.91202603176 FALSE
McK18 D82510 1 548.765343718773 4907.32743770018 FALSE
McK18 D82510 1 548.886820654791 4907.41144388065 FALSE
McK18 D82510 1 548.762444029053 4907.21149265326 FALSE
McK18 D82510 1 548.654169953747 4907.22809253354 FALSE
McK18 D82510 1 548.785003392127 4907.22462396925 FALSE
McK18 D82510 1 548.521083527866 4907.45355203237 FALSE
McK18 D82510 1 547.903135801875 4907.44316453112 FALSE
McK18 D82510 1 548.244887253739 4906.90063977303 FALSE
McK18 D82510 1 548.040231803595 4907.20528125773 FALSE
McK18 D82510 1 547.826550387854 4908.10321998086 FALSE
McK18 D82510 1 547.310558119791 4908.4165329804 FALSE
McK18 D82510 1 548.590763586149 4907.25551338389 FALSE
McK18 D82510 1 548.052347699118 4905.00919777635 FALSE
McK18 D82510 1 547.889659091017 4905.16804892277 FALSE
McK18 D82510 1 549.131627829217 4908.4607013498 FALSE
McK18 D82510 1 549.370021150975 4910.76985864256 FALSE
McK18 D82510 1 549.415598391815 4910.86255609251 FALSE
McK18 D82510 1 549.38749496502 4910.60513527141 FALSE
McK18 D82510 1 548.748333509088 4909.12721470469 FALSE
McK18 D82510 1 546.853582905309 4907.40942348894 FALSE
McK18 D82510 1 546.38677402015 4907.39519871476 FALSE
McK18 D82510 1 547.094891115832 4907.22367615702 FALSE
McK18 D82510 1 545.985697463789 4906.81086440706 FALSE
McK18 D82510 1 547.769025737022 4905.99252325686 FALSE
McK18 D82522 1 574.719079807773 4891.7024558636 FALSE
McK18 D82522 1 574.674862376085 4892.62097955023 FALSE
McK18 D82522 1 574.327486078101 4892.41307552708 FALSE
McK18 D82522 1 574.776926465057 4892.64562400109 FALSE
McK18 D82522 1 574.874992130579 4892.14981894475 FALSE
McK18 D82522 1 574.331474283529 4892.14531459445 FALSE
McK18 D82522 1 573.375530409474 4892.05554443345 FALSE
McK18 D82522 1 574.020374235388 4891.83656131946 FALSE
McK18 D82522 1 574.734698442033 4892.00294347738 FALSE
McK18 D82522 1 574.741634459401 4892.33989098695 FALSE
McK18 D82522 1 577.149783655135 4897.83733403248 FALSE
McK18 D82522 1 576.897833751103 4897.94827405996 FALSE
McK18 D82522 1 576.245199643451 4896.77158003607 FALSE
McK18 D82522 1 575.796962564032 4897.3055274043 FALSE
McK18 D82522 1 577.135632409183 4898.45580638961 FALSE
McK18 D82522 1 575.593053851111 4897.17549090467 FALSE
McK18 D82522 1 575.713334400615 4896.73443914432 FALSE
McK18 D82522 1 577.830893335116 4901.28379744922 FALSE
McK18 D82522 1 577.898017460948 4900.6847368794 FALSE
McK18 D82522 1 577.317467045488 4900.95490611327 FALSE
McK18 D82522 1 577.711997603618 4900.91751470108 FALSE
McK18 D82522 1 578.381501207547 4899.8296947899 FALSE
McK18 D82522 1 578.166230263787 4899.50274493144 FALSE
McK18 D82522 1 577.375119968178 4899.58641924766 FALSE
McK18 D82522 1 577.569573622119 4899.72070152652 FALSE
McK18 D82522 1 577.294554939804 4900.27443996683 FALSE
McK18 D82522 1 576.674883216337 4899.60513102644 FALSE
McK18 D82522 1 576.604025004335 4899.57403113865 FALSE
McK18 D82522 1 576.823067510036 4899.68762701268 FALSE
McK18 D82522 1 578.016917609461 4899.32947872057 FALSE
McK18 D82522 1 576.899755486943 4900.06563780807 FALSE
McK18 D82522 1 576.713623177962 4899.80755379366 FALSE
McK18 D82522 1 576.560885672284 4899.09140473096 FALSE
McK18 D82522 1 575.433332225112 4897.37243216661 FALSE
McK18 D82522 1 579.991376181396 4899.6838624251 FALSE
McK18 D82522 1 579.875443600994 4899.17850237111 FALSE
McK18 D82522 1 577.655144119191 4898.2202645397 FALSE
McK18 D82522 1 582.163512722912 4894.72450302758 FALSE
McK18 D82532 1 533.113294036472 4908.01945739488 FALSE
McK18 D82532 1 532.380454287093 4907.99431579662 FALSE
McK18 D82532 1 531.474771560773 4908.13117176506 FALSE
McK18 D82532 1 531.457513257828 4908.60082153549 FALSE
McK18 D82532 1 530.205008712577 4908.53675450766 FALSE
McK18 D82532 1 530.844871165345 4908.82783106665 FALSE
McK18 D82532 1 531.373507474133 4907.87678579949 FALSE
McK18 D82532 1 533.004455216858 4906.64096459948 FALSE
McK18 D82532 1 532.943207842329 4907.9098093661 FALSE
McK18 D82532 1 532.355248358275 4907.64478754564 FALSE
McK18 D82532 1 532.651204536495 4907.18297922923 FALSE
McK18 D82532 1 532.706348067549 4908.03635879789 FALSE
McK18 D82532 1 532.190169841216 4907.13049815516 FALSE
McK18 D82532 1 532.170821504392 4907.19562721548 FALSE
McK18 D82532 1 532.072319446102 4907.46023919912 FALSE
McK18 D82532 1 532.048421469885 4907.43717357442 FALSE
McK18 D82532 1 532.932735822748 4907.82160590597 FALSE
McK18 D82532 1 533.430688536119 4908.31136155564 FALSE
McK18 D82532 1 533.075120022855 4908.07060398762 FALSE
McK18 D82532 1 532.82754890276 4907.91249332146 FALSE
McK18 D82532 1 532.987143247124 4907.6001593987 FALSE
McK18 D82532 1 532.800491153737 4907.82235185515 FALSE
McK18 D82532 1 532.940679161001 4907.8007856594 FALSE
McK18 D82532 1 532.811594749399 4907.99797584889 FALSE
McK18 D82532 1 532.81514681993 4908.5135133621 FALSE
McK18 D82532 1 532.864221197894 4908.45174554313 FALSE
McK18 D82532 1 532.132762063459 4907.41552760406 FALSE
McK18 D82532 1 534.194461789262 4907.6148364683 FALSE
McK18 D82532 1 532.734278895521 4908.59394983116 FALSE
McK18 D82532 1 532.92246800508 4908.49720256802 FALSE
McK18 D82532 1 533.350787241409 4908.11434693661 FALSE
McK18 D82532 1 533.517690158432 4907.97314389531 FALSE
McK18 D82532 1 531.190837445332 4907.57498291928 FALSE
McK18 D82532 1 531.483405221348 4908.10835372941 FALSE
McK18 D82532 1 529.213014665595 4910.66948402528 FALSE
McK18 D82532 1 529.461349894265 4910.86758307651 FALSE
McK18 D82532 1 529.707877198164 4910.48723907834 FALSE
McK18 D82532 1 529.358254599466 4909.08640261237 FALSE
McK18 D82532 1 530.230985496241 4908.75732848103 FALSE
McK18 D82532 1 533.566956575127 4906.65173568309 FALSE
McK18 D82532 1 532.819589414345 4907.89214849124 FALSE
McK18 D82533 1 540.265996830906 4901.67879231006 FALSE
McK18 D82533 1 540.53536542632 4901.24339741999 FALSE
McK18 D82533 1 540.502831566524 4901.51301415885 FALSE
McK18 D82533 1 540.193724451236 4901.43526696219 FALSE
McK18 D82533 1 540.477276726521 4901.49313999851 FALSE
McK18 D82533 1 541.191966415752 4901.09453876707 FALSE
McK18 D82533 1 542.851114037095 4901.60259662912 FALSE
McK18 D82533 1 541.485916220628 4901.37590871129 FALSE
McK18 D82533 1 541.290304681126 4901.48920506266 FALSE
McK18 D82533 1 542.313527382883 4899.63993823628 FALSE
